日付,始値,高値,安値,終値,5日平均,25日平均,75日平均,VWAP,出来高,5日平均,25日平均
2025/07/18,"2,189","2,212","2,123","2,136","2,145.20","2,189.36","2,141.86","2,170.7237","1,501,800","1,831,180.00","2,315,404.00"
2025/07/17,"2,173","2,219","2,145","2,158","2,138.60","2,187.92","2,144.18","2,178.8232","1,492,200","1,783,840.00","2,590,736.00"
2025/07/16,"2,173","2,213","2,141","2,155","2,126.40","2,185.80","2,147.37","2,177.1979","1,475,300","1,696,320.00","2,866,724.00"
2025/07/15,"2,123","2,226","2,112","2,187","2,113.00","2,179.76","2,152.12","2,187.9489","3,559,600","1,646,680.00","2,859,740.00"
2025/07/14,"2,106","2,127","2,083","2,090","2,081.40","2,172.28","2,157.30","2,105.8663","1,127,000","1,255,780.00","2,785,040.00"
2025/07/11,"2,090","2,128","2,087","2,103","2,074.20","2,168.92","2,164.57","2,105.2422","1,265,100","1,192,380.00","2,820,584.00"
2025/07/10,"2,097","2,115","2,075","2,097","2,066.40","2,163.76","2,172.90","2,091.9948","1,054,600","1,233,260.00","2,839,072.00"
2025/07/09,"2,044","2,094","2,023","2,088","2,060.20","2,158.56","2,181.78","2,054.7024","1,227,100","1,674,080.00","2,870,204.00"
2025/07/08,"2,045","2,083","2,021","2,029","2,078.20","2,153.44","2,191.62","2,053.2377","1,605,100","1,817,220.00","2,941,948.00"
2025/07/07,"2,051","2,089","2,045","2,054","2,126.40","2,151.76","2,202.73","2,069.2268","810,000","1,891,740.00","2,964,576.00"
2025/07/04,"2,081","2,098","2,058","2,064","2,175.80","2,150.60","2,213.36","2,078.2866","1,469,500","2,319,620.00","3,022,848.00"
2025/07/03,"2,152","2,156","2,064","2,066","2,213.00","2,150.80","2,223.06","2,088.0643","3,258,700","2,447,740.00","3,086,232.00"
2025/07/02,"2,250","2,278","2,175","2,178","2,258.00","2,152.68","2,230.97","2,217.8256","1,942,800","2,339,860.00","3,088,968.00"
2025/07/01,"2,327","2,344","2,259","2,270","2,272.60","2,147.88","2,237.98","2,306.0283","1,977,700","3,042,840.00","3,116,828.00"
2025/06/30,"2,265","2,342","2,237","2,301","2,281.40","2,138.56","2,244.06","2,296.5615","2,949,400","2,988,240.00","3,109,248.00"
2025/06/27,"2,298","2,315","2,237","2,250","2,278.40","2,128.08","2,249.22","2,264.3010","2,110,100","2,676,280.00","3,107,668.00"
2025/06/26,"2,255","2,317","2,219","2,291","2,286.20","2,121.24","2,258.70","2,270.6273","2,719,300","2,770,300.00","3,158,076.00"
2025/06/25,"2,214","2,292","2,164","2,251","2,290.20","2,109.84","2,263.81","2,220.5636","5,457,700","2,967,400.00","3,204,928.00"
2025/06/24,"2,300","2,331","2,293","2,314","2,302.20","2,098.36","2,270.74","2,311.0829","1,704,700","2,802,180.00","3,098,588.00"
2025/06/23,"2,252","2,294","2,237","2,286","2,288.40","2,086.40","2,274.65","2,269.7901","1,389,600","3,076,620.00","3,154,564.00"
2025/06/20,"2,308","2,313","2,226","2,289","2,273.20","2,074.24","2,279.68","2,264.4657","2,580,200","3,557,560.00","3,235,080.00"
2025/06/19,"2,297","2,365","2,291","2,311","2,235.40","2,063.12","2,284.66","2,335.9018","3,704,800","4,718,540.00","3,393,168.00"
2025/06/18,"2,245","2,343","2,236","2,311","2,194.20","2,050.52","2,288.78","2,308.1867","4,631,600","5,655,960.00","3,543,488.00"
2025/06/17,"2,190","2,248","2,185","2,245","2,132.80","2,035.32","2,291.65","2,213.1981","3,076,900","4,989,780.00","4,047,356.00"
2025/06/16,"2,104","2,214","2,088","2,210","2,083.80","2,035.44","2,295.20","2,169.0888","3,794,300","4,712,820.00","4,100,036.00"
2025/06/13,"2,147","2,229","2,080","2,100","2,043.00","2,039.16","2,299.56","2,163.4705","8,385,100","4,357,080.00","4,088,244.00"
2025/06/12,"2,080","2,151","2,058","2,105","2,017.80","2,049.44","2,303.22","2,108.9868","8,391,900","3,025,520.00","3,916,532.00"
2025/06/11,"2,000","2,014","1,983","2,004","1,990.20","2,056.36","2,308.52","1,998.4878","1,300,700","1,713,720.00","3,739,528.00"
2025/06/10,"2,010","2,023","1,978","2,000","1,981.40","2,064.24","2,315.82","1,996.6422","1,692,100","2,057,720.00","3,777,380.00"
2025/06/09,"1,991","2,019","1,982","2,006","1,978.80","2,073.28","2,323.06","2,002.8925","2,015,600","2,153,460.00","3,866,948.00"
2025/06/06,"1,968","2,009","1,967","1,974","1,982.60","2,079.96","2,331.33","1,983.9275","1,727,300","2,203,700.00","3,901,556.00"
2025/06/05,"1,964","1,995","1,942","1,967","2,001.60","2,088.24","2,337.56","1,973.7052","1,832,900","2,469,060.00","4,061,544.00"
2025/06/04,"1,969","1,978","1,931","1,960","2,030.80","2,092.36","2,347.20","1,950.4851","3,020,700","2,767,900.00","4,080,028.00"
2025/06/03,"2,018","2,018","1,981","1,987","2,050.40","2,097.24","2,366.26","1,995.3500","2,170,800","2,691,620.00","4,116,000.00"
2025/06/02,"2,081","2,081","2,022","2,025","2,060.40","2,099.24","2,383.70","2,039.1632","2,266,800","2,615,100.00","4,182,616.00"
2025/05/30,"2,094","2,134","2,059","2,069","2,063.20","2,100.80","2,399.10","2,096.9119","3,054,100","2,743,720.00","4,254,384.00"
2025/05/29,"2,060","2,113","2,043","2,113","2,065.20","2,097.68","2,412.92","2,086.3507","3,327,100","2,806,960.00","4,308,404.00"
2025/05/28,"2,042","2,101","2,039","2,058","2,043.80","2,095.44","2,425.88","2,069.3736","2,639,300","2,919,660.00","4,349,656.00"
2025/05/27,"2,043","2,053","2,016","2,037","2,025.00","2,098.60","2,437.61","2,036.5557","1,788,200","2,951,640.00","4,381,928.00"
2025/05/26,"2,086","2,119","2,033","2,039","2,020.60","2,102.28","2,447.44","2,065.8348","2,909,900","3,214,820.00","4,570,644.00"
2025/05/23,"2,020","2,085","2,012","2,079","2,009.20","2,105.80","2,457.44","2,066.0602","3,370,300","3,313,340.00","5,108,792.00"
2025/05/22,"1,959","2,060","1,948","2,006","1,995.60","2,117.28","2,467.40","2,013.5615","3,890,600","3,945,760.00","5,079,704.00"
2025/05/21,"2,015","2,042","1,958","1,964","1,993.60","2,131.12","2,478.01","1,997.8401","2,799,200","4,660,200.00","5,060,740.00"
2025/05/20,"1,982","2,017","1,961","2,015","1,987.00","2,146.96","2,488.93","1,984.9899","3,104,100","7,546,020.00","5,162,196.00"
2025/05/19,"1,961","2,017","1,945","1,982","2,033.60","2,160.72","2,498.32","1,977.0902","3,402,500","7,803,980.00","5,230,420.00"
2025/05/16,"2,023","2,096","2,008","2,011","2,097.80","2,169.72","2,508.85","2,054.7601","6,532,400","7,823,380.00","5,309,092.00"
2025/05/15,"1,924","2,028","1,900","1,996","2,167.00","2,180.00","2,519.16","1,969.2957","7,462,800","7,335,360.00","5,257,832.00"
2025/05/14,"1,998","2,022","1,857","1,931","2,223.40","2,180.32","2,531.25","1,924.1647","17,228,300","6,636,160.00","5,238,160.00"
2025/05/13,"2,330","2,335","2,200","2,248","2,277.40","2,193.60","2,542.68","2,282.4842","4,393,900","3,639,900.00","4,896,632.00"
2025/05/12,"2,370","2,392","2,282","2,303","2,273.00","2,196.48","2,549.16","2,333.1727","3,499,500","3,547,380.00","5,051,948.00"
2025/05/09,"2,290","2,391","2,287","2,357","2,247.00","2,197.08","2,555.24","2,356.2400","4,092,300","3,423,640.00","5,110,468.00"
2025/05/08,"2,210","2,300","2,207","2,278","2,211.80","2,195.20","2,560.85","2,263.8217","3,966,800","3,750,580.00","5,133,884.00"
2025/05/07,"2,206","2,223","2,183","2,201","2,170.20","2,199.96","2,567.14","2,203.1593","2,247,000","3,416,220.00","5,195,100.00"
2025/05/02,"2,200","2,229","2,165","2,226","2,146.40","2,212.36","2,575.06","2,199.8138","3,931,300","3,750,820.00","5,371,556.00"
2025/05/01,"2,166","2,177","2,130","2,173","2,108.60","2,226.36","2,583.05","2,157.1344","2,880,800","3,731,800.00","5,391,980.00"
2025/04/30,"2,090","2,184","2,084","2,181","2,086.80","2,244.84","2,588.54","2,144.6072","5,727,000","3,967,840.00","5,472,260.00"
2025/04/28,"2,090","2,093","2,053","2,070","2,048.80","2,266.72","2,593.78","2,074.7489","2,295,000","3,703,360.00","5,362,104.00"
2025/04/25,"2,045","2,090","2,037","2,082","2,046.20","2,294.44","2,600.12","2,067.3300","3,920,000","4,116,040.00","5,442,256.00"
2025/04/24,"2,048","2,070","2,006","2,037","2,057.20","2,324.20","2,605.65","2,027.5290","3,836,200","4,021,260.00","5,545,956.00"
2025/04/23,"2,050","2,069","2,003","2,064","2,075.60","2,357.20","2,613.53","2,027.8926","4,061,000","4,555,240.00","5,725,932.00"
2025/04/22,"2,049","2,062","1,989","1,991","2,088.20","2,388.68","2,621.34","2,010.5833","4,404,600","7,015,760.00","5,938,364.00"
2025/04/21,"2,110","2,115","2,045","2,057","2,163.20","2,420.72","2,630.42","2,069.3096","4,358,400","6,663,460.00","6,236,932.00"
2025/04/18,"2,139","2,150","2,103","2,137","2,222.20","2,444.80","2,641.14","2,125.8933","3,446,100","6,475,080.00","6,472,408.00"
2025/04/17,"2,142","2,149","2,070","2,129","2,266.80","2,467.48","2,649.30","2,116.2692","6,506,100","6,852,980.00","7,098,184.00"
2025/04/16,"2,216","2,228","2,090","2,127","2,312.80","2,491.36","2,654.92","2,149.3096","16,363,600","6,513,700.00","7,328,328.00"
2025/04/15,"2,380","2,398","2,332","2,366","2,328.80","2,513.80","2,659.98","2,363.5440","2,643,100","4,314,840.00","7,250,988.00"
2025/04/14,"2,370","2,405","2,340","2,352","2,309.20","2,537.60","2,663.30","2,373.6861","3,416,500","4,836,400.00","8,026,240.00"
2025/04/11,"2,309","2,362","2,246","2,360","2,239.60","2,550.48","2,666.90","2,302.3235","5,335,600","5,547,300.00","8,531,260.00"
2025/04/10,"2,372","2,372","2,300","2,359","2,220.20","2,566.92","2,669.73","2,340.0584","4,809,700","6,218,200.00","9,009,624.00"
2025/04/09,"2,233","2,242","2,147","2,207","2,212.40","2,576.84","2,673.81","2,194.7329","5,369,300","6,911,620.00","9,055,768.00"
2025/04/08,"2,237","2,285","2,206","2,268","2,234.60","2,595.08","2,680.97","2,246.0462","5,250,900","6,830,260.00","9,212,828.00"
2025/04/07,"2,000","2,102","1,993","2,004","2,243.00","2,610.88","2,687.36","2,052.3254","6,971,000","6,715,620.00","9,302,336.00"
2025/04/04,"2,300","2,310","2,151","2,263","2,321.60","2,635.52","2,696.61","2,214.8601","8,690,100","6,420,860.00","9,530,960.00"
2025/04/03,"2,200","2,390","2,200","2,320","2,371.20","2,646.04","2,702.64","2,326.5854","8,276,800","6,014,520.00","9,381,932.00"
2025/04/02,"2,318","2,339","2,257","2,318","2,422.40","2,653.68","2,707.41","2,304.7976","4,962,500","5,247,540.00","9,264,528.00"
2025/04/01,"2,411","2,412","2,310","2,310","2,485.80","2,662.44","2,710.33","2,349.2028","4,677,700","5,232,600.00","9,364,748.00"
2025/03/31,"2,494","2,509","2,393","2,397","2,569.40","2,665.04","2,713.02","2,420.4247","5,497,200","4,891,680.00","9,433,668.00"
2025/03/28,"2,550","2,592","2,494","2,511","2,642.60","2,669.24","2,712.94","2,538.0263","6,658,400","4,652,000.00","9,503,416.00"
2025/03/27,"2,630","2,652","2,561","2,576","2,705.60","2,670.88","2,711.57","2,608.1414","4,441,900","4,622,820.00","9,579,484.00"
2025/03/26,"2,727","2,727","2,631","2,635","2,762.80","2,669.56","2,707.96","2,658.1514","4,887,800","5,401,560.00","9,760,660.00"
2025/03/25,"2,784","2,786","2,721","2,728","2,806.00","2,669.20","2,708.26","2,751.6468","2,973,100","6,298,360.00","10,168,460.00"
2025/03/24,"2,841","2,848","2,754","2,763","2,818.80","2,657.72","2,706.54","2,795.2113","4,298,800","8,077,500.00","10,886,572.00"
2025/03/21,"2,897","2,936","2,822","2,826","2,798.00","2,654.80","2,704.74","2,868.7217","6,512,500","9,266,800.00","11,292,416.00"
2025/03/19,"2,862","2,916","2,827","2,862","2,773.60","2,677.36","2,702.37","2,870.1060","8,335,600","11,782,400.00","11,274,188.00"
2025/03/18,"2,840","2,878","2,797","2,851","2,746.40","2,694.68","2,700.21","2,844.3169","9,371,800","12,567,220.00","11,077,392.00"
2025/03/17,"2,679","2,792","2,660","2,792","2,713.80","2,707.84","2,697.56","2,720.6058","11,868,800","13,578,880.00","10,823,888.00"
2025/03/14,"2,699","2,700","2,595","2,659","2,747.60","2,720.36","2,696.40","2,643.3499","10,245,300","15,610,000.00","10,474,780.00"
2025/03/13,"2,776","2,904","2,704","2,704","2,750.60","2,737.40","2,695.40","2,798.8223","19,090,500","16,769,340.00","10,280,256.00"
2025/03/12,"2,750","2,819","2,691","2,726","2,764.00","2,746.76","2,693.25","2,749.7693","12,259,700","16,410,180.00","9,769,856.00"
2025/03/11,"2,893","2,911","2,638","2,688","2,740.20","2,748.68","2,689.93","2,708.6642","14,430,100","15,150,900.00","9,381,656.00"
2025/03/10,"2,774","3,085","2,741","2,961","2,735.20","2,752.72","2,687.13","2,963.5014","22,024,400","14,124,040.00","8,947,616.00"
2025/03/07,"2,674","2,737","2,582","2,674","2,675.60","2,747.32","2,680.52","2,645.6446","16,042,000","11,216,880.00","8,270,572.00"
2025/03/06,"2,605","2,889","2,578","2,771","2,664.80","2,752.44","2,677.61","2,771.6501","17,294,700","10,545,800.00","7,823,752.00"
2025/03/05,"2,657","2,712","2,596","2,607","2,615.80","2,752.92","2,671.17","2,641.2017","5,963,300","8,079,740.00","7,302,680.00"
2025/03/04,"2,640","2,689","2,556","2,663","2,596.60","2,757.40","2,666.05","2,619.4635","9,295,800","7,955,420.00","7,252,152.00"
2025/03/03,"2,650","2,670","2,563","2,663","2,571.40","2,761.76","2,659.77","2,628.1973","7,488,600","7,589,860.00","7,045,208.00"
2025/02/28,"2,605","2,684","2,525","2,620","2,513.80","2,766.60","2,653.78","2,607.4249","12,686,600","7,372,280.00","6,938,216.00"
2025/02/27,"2,511","2,606","2,506","2,526","2,490.20","2,777.92","2,647.74","2,557.2123","4,964,400","6,283,140.00","6,847,740.00"
2025/02/26,"2,503","2,548","2,481","2,511","2,495.40","2,788.40","2,643.56","2,518.2414","5,341,700","7,002,280.00","6,796,252.00"
2025/02/25,"2,365","2,550","2,365","2,537","2,501.80","2,797.32","2,638.00","2,470.7230","7,468,000","7,728,200.00","6,745,440.00"
2025/02/21,"2,459","2,479","2,364","2,375","2,519.60","2,806.20","2,629.74","2,402.4804","6,400,700","9,251,160.00","6,561,348.00"
2025/02/20,"2,555","2,622","2,495","2,502","2,532.80","2,822.32","2,621.38","2,551.0975","7,240,900","12,156,200.00","6,513,132.00"
2025/02/19,"2,531","2,610","2,495","2,552","2,570.40","2,832.24","2,608.78","2,543.4212","8,560,100","13,597,000.00","6,542,568.00"
2025/02/18,"2,605","2,646","2,517","2,543","2,738.00","2,841.96","2,595.21","2,568.3373","8,971,300","13,096,340.00","6,459,756.00"
2025/02/17,"2,455","2,626","2,432","2,626","2,888.40","2,853.24","2,581.86","2,531.9111","15,082,800","11,985,220.00","6,515,352.00"
